rank,rider,team,time,cq_points,race_id
1.0,LONARDI Giovanni,EOK,"4h23'11""",15,39288
2.0,CAPIOT Amaury,ARK,,10,39288
3.0,LAWLESS Christopher,TEN,,8,39288
4.0,JAIME FERNANDEZ Alex,EKP,"02""",7,39288
5.0,SOTO GUIRAO Antonio Jesus,EUS,"02""",6,39288
6.0,EZQUERRA MUELA Jesus,BBH,"02""",5,39288
7.0,FIORELLI Filippo,BCF,"02""",4,39288
8.0,HOYOS CANO Juan Diego,EHE,"02""",3,39288
9.0,GALVAN FERNANDEZ Francisco,EKP,"02""",2,39288
10.0,ALBANESE Vincenzo,EOK,"02""",1,39288
11.0,MOLENAAR Alex,BBH,"06""",0,39288
12.0,GABBURO Davide,BCF,"06""",0,39288
13.0,GONZALEZ LOPEZ David,CJR,"06""",0,39288
14.0,CAÑELLAS SANCHEZ Xavier,JAV,"06""",0,39288
15.0,BAIS Davide,EOK,"06""",0,39288
16.0,PELEGRI FERRANDIS Oscar,BBH,"10""",0,39288
17.0,BALLESTEROS CANOVAS Miguel Angel,EHE,"10""",0,39288
18.0,TEGGART Matthew,RDW,"12""",0,39288
19.0,ZOCCARATO Samuele,BCF,"12""",0,39288
20.0,IRIZAR LASKURAIN Julen,EUS,"12""",0,39288
1.0,MCNULTY Brandon,UAD,"3h57'37""",80,39289
2.0,SUTER Joël,UAD,"01'17""",48,39289
3.0,ALBANESE Vincenzo,EOK,"01'17""",40,39289
4.0,WELLENS Tim,LTS,"01'17""",36,39289
5.0,CLARKE Simon,IPT,"01'17""",32,39289
6.0,VALVERDE BELMONTE Alejandro,MOV,"01'17""",28,39289
7.0,GOOSSENS Kobe,IWG,"01'17""",24,39289
8.0,OWSIAN Lukasz,ARK,"01'17""",20,39289
9.0,BUCHMANN Emanuel,BOH,"01'17""",16,39289
10.0,ZWIEHOFF Ben,BOH,"02'54""",12,39289
11.0,MATTHEWS Michael,BEX,"02'55""",10,39289
12.0,BARGUIL Warren,ARK,"02'55""",9,39289
13.0,KRON Andreas Lorentz,LTS,"02'55""",8,39289
14.0,PARET-PEINTRE Aurélien,ACT,"02'55""",7,39289
15.0,GARCIA PIERNA Raul,EKP,"02'55""",6,39289
16.0,HUYS Laurens,IWG,"02'55""",5,39289
17.0,LAENGEN Vegard Stake,UAD,"02'55""",5,39289
18.0,VILLELLA Davide,COF,"02'55""",5,39289
19.0,VANHOUCKE Harm,LTS,"02'55""",5,39289
20.0,HÄNNINEN Jaakko,ACT,"02'55""",5,39289
21.0,HERMANS Ben,IPT,"02'55""",0,39289
22.0,GESBERT Elie,ARK,"02'55""",0,39289
23.0,ZANA Filippo,BCF,"02'55""",0,39289
24.0,MORENO SALA Adria,BBH,"02'55""",0,39289
25.0,RUBIO REYES Einer Augusto,MOV,"02'55""",0,39289
26.0,PICCOLI James,IPT,"02'55""",0,39289
27.0,UIJTDEBROEKS Cian,BOH,"02'55""",0,39289
28.0,MÜHLBERGER Gregor,MOV,"02'55""",0,39289
29.0,JORGENSON Matteo,MOV,"02'59""",0,39289
30.0,GESCHKE Simon,COF,"02'59""",0,39289
31.0,COLLEONI Kevin,BEX,"07'31""",0,39289
1.0,GIRMAY HAILU Biniam,IWG,"3h50'48""",80,39292
2.0,GIBBONS Ryan,UAD,,48,39292
3.0,NIZZOLO Giacomo,IPT,,40,39292
4.0,GARCIA CORTINA Ivan,MOV,,36,39292
5.0,LOUVEL Matis,ARK,,32,39292
6.0,MATTHEWS Michael,BEX,,28,39292
7.0,ALLEGAERT Piet,COF,,24,39292
8.0,ACKERMANN Pascal,UAD,,20,39292
9.0,EZQUERRA MUELA Jesus,BBH,,16,39292
10.0,NAESEN Lawrence,ACT,,12,39292
11.0,SOTO GUIRAO Antonio Jesus,EUS,,10,39292
12.0,BALLESTEROS CANOVAS Miguel Angel,EHE,,9,39292
13.0,JAIME FERNANDEZ Alex,EKP,,8,39292
14.0,MARTIN SANZ Gotzon,EUS,,7,39292
15.0,TORRES BARCELO Albert,MOV,,6,39292
16.0,HALLER Marco,BOH,,5,39292
17.0,KAMP Alexander,TFS,,5,39292
18.0,GUGLIELMI Simon,ARK,,5,39292
19.0,MAESTRI Mirco,EOK,,5,39292
20.0,PRADES REVERTER Eduard,CJR,,5,39292
21.0,BRAET Vito,SVB,,0,39292
22.0,APERS Ruben,SVB,,0,39292
23.0,GARCIA PIERNA Raul,EKP,,0,39292
24.0,MAS BONET Lluis Guillermo,MOV,,0,39292
25.0,PETERS Nans,ACT,,0,39292
26.0,DE PESTEL Sander,SVB,,0,39292
27.0,PELLAUD Simon,TFS,,0,39292
28.0,BIERMANS Jenthe,IPT,,0,39292
29.0,KRON Andreas Lorentz,LTS,,0,39292
30.0,BAIS Mattia,DRA,,0,39292
31.0,POLITT Nils,BOH,,0,39292
1.0,WELLENS Tim,LTS,"4h12'32""",80,39290
2.0,VALVERDE BELMONTE Alejandro,MOV,,48,39290
3.0,CLARKE Simon,IPT,,40,39290
4.0,MCNULTY Brandon,UAD,,36,39290
5.0,GOOSSENS Kobe,IWG,,32,39290
6.0,BUCHMANN Emanuel,BOH,,28,39290
7.0,MAS NICOLAU Enric,MOV,"14""",24,39290
8.0,BARGUIL Warren,ARK,"14""",20,39290
9.0,ZWIEHOFF Ben,BOH,"19""",16,39290
10.0,GALL Felix,ACT,"01'52""",12,39290
11.0,HOOLE Daan,TFS,"01'52""",10,39290
12.0,GIBBONS Ryan,UAD,"01'52""",9,39290
13.0,VILLELLA Davide,COF,"01'52""",8,39290
14.0,WANDAHL Frederik,BOH,"01'52""",7,39290
15.0,ALBANESE Vincenzo,EOK,"01'52""",6,39290
16.0,BAKELANTS Jan,IWG,"01'52""",5,39290
17.0,MARTIN SANZ Gotzon,EUS,"01'55""",5,39290
18.0,COLLEONI Kevin,BEX,"01'55""",5,39290
19.0,HERRADA LOPEZ Jesus,COF,"01'55""",5,39290
20.0,JORGENSON Matteo,MOV,"01'55""",5,39290
21.0,GARCIA PIERNA Raul,EKP,"01'55""",0,39290
22.0,ZANA Filippo,BCF,"01'55""",0,39290
23.0,PETERS Nans,ACT,"01'55""",0,39290
24.0,LASTRA MARTINEZ Jonathan,CJR,"01'55""",0,39290
25.0,GESCHKE Simon,COF,"01'55""",0,39290
26.0,PICCOLI James,IPT,"01'58""",0,39290
27.0,BERRADE FERNANDEZ Urko,EKP,"01'58""",0,39290
28.0,SCHLEGEL Michal,CJR,"01'58""",0,39290
29.0,GESBERT Elie,ARK,"01'58""",0,39290
30.0,ZOCCARATO Samuele,BCF,"01'58""",0,39290
31.0,ARDILA ORDOÑEZ Andres Camilo,UAD,"02'01""",0,39290
1.0,VALVERDE BELMONTE Alejandro,MOV,"4h15'00""",80,39291
2.0,MCNULTY Brandon,UAD,,48,39291
3.0,VLASOV Aleksandr,BOH,"06""",40,39291
4.0,MATTHEWS Michael,BEX,"10""",36,39291
5.0,GALL Felix,ACT,"10""",32,39291
6.0,CLARKE Simon,IPT,"10""",28,39291
7.0,GESBERT Elie,ARK,"10""",24,39291
8.0,WELLENS Tim,LTS,"13""",20,39291
9.0,GOOSSENS Kobe,IWG,"19""",16,39291
10.0,GESCHKE Simon,COF,"28""",12,39291
11.0,SOSA CUERVO Ivan Ramiro,MOV,"29""",10,39291
12.0,MAS NICOLAU Enric,MOV,"32""",9,39291
13.0,BIZKARRA ETXEGIBEL Mikel,EUS,"35""",8,39291
14.0,BARGUIL Warren,ARK,"39""",7,39291
15.0,VILLELLA Davide,COF,"39""",6,39291
16.0,BUCHMANN Emanuel,BOH,"39""",5,39291
17.0,RUBIO REYES Einer Augusto,MOV,"39""",5,39291
18.0,PETERS Nans,ACT,"47""",5,39291
19.0,GIRMAY HAILU Biniam,IWG,"47""",5,39291
20.0,PARRA CUERDA Jose Felix,EKP,"47""",5,39291
21.0,FLOREZ LOPEZ Miguel Eduardo,ARK,"52""",0,39291
22.0,MARTIN SANZ Gotzon,EUS,"56""",0,39291
23.0,ZANA Filippo,BCF,"56""",0,39291
24.0,PICCOLI James,IPT,"56""",0,39291
25.0,KRON Andreas Lorentz,LTS,"58""",0,39291
26.0,PELLAUD Simon,TFS,"58""",0,39291
27.0,MATE MARDONES Luis Angel,EUS,"01'02""",0,39291
28.0,SEPULVEDA Eduardo,DRA,"01'09""",0,39291
