"Rider","Pro_year","Points_as_neopro","heuristic"
"aaen jørgensen jonas",2010,349,0.169047619047619
"aasvold kristian",2020,16,0
"aberasturi jon",2013,134,0
"ackermann pascal",2017,1280,0.791666666666667
"ackermann silvere",2008,72,1
"acosta ruben dario",2019,3,0
"affini edoardo",2019,306,0.708333333333333
"agostini stefano",2012,79,0.7
"aguirre hernán ricardo",2017,329,0.5
"ahlstrand jonas",2013,84,0.5
"aït el abdia anass",2017,62,0
"alafaci eugenio",2014,79,0.5
"alaphilippe julian",2014,1201,0.333333333333333
"alba juan diego",2020,20,0.5
"albanese vincenzo",2017,69,0.777777777777778
"alberio tomas",2011,0,1.26666666666667
"alcaraz jose maría",2008,15,0
"aleotti giovanni",2021,NA,0.868055555555556
"allegaert piet",2017,78,0.242857142857143
"almeida joão",2018,172,0
"amador andrey",2009,143,0.333333333333333
"amezqueta julen",2016,113,0
"anacona winner",2012,173,0.861111111111111
"anderson edward",2018,4,0
"anderson ryan",2011,104,0
"andreetta simone",2015,74,1.03869047619048
"andreetta simone",2015,74,1.03869047619048
"andreetta simone",2015,74,1.03869047619048
"andreetta simone",2015,74,1.03869047619048
"aniolkowski stanislaw",2016,0,0.333333333333333
"antonini simone",2015,66,0
"aparicio mario",2021,NA,0
"apers ruben",2021,NA,0.2
"appollonio davide",2010,633,0.5
"aramendia javier",2008,76,0
"aranburu alex",2017,310,0
"ardila andrés camilo",2020,6,1
"aregger marcel",2013,54,0.0666666666666667
"arensman thymen",2020,80,0.276190476190476
"areruya joseph",2019,89,0
"arguelyes arkimedes",2011,9,0
"ariesen tim",2017,67,0
"aristi mikel",2016,70,0.1
"armirail bruno",2018,130,0
"arndt nikias",2013,406,0.5
"arslanov ildar",2015,44,0.133333333333333
"aru fabio",2012,368,0.75
"asgreen kasper",2019,1152,0.177777777777778
"atapuma darwin",2012,554,0.5
"augustyn john-lee",2007,194,0
"aular orluis",2020,35,0
"ávila edwin",2013,78,0
"ayazbayev maxat",2015,10,0.107142857142857
"ayuso juan",2021,NA,1.125
"azparren xabier mikel",2021,NA,0
"backaert frederik",2014,233,0
"bacquet fabien",2007,74,0
"baer michael",2011,24,0.0333333333333333
"baestaens vincent",2011,1,0
"baggio filippo",2010,68,0.333333333333333
"bagioli nicola",2017,158,0.333333333333333
"bagot yoann",2011,69,1
"baillifard valentin",2016,106,0.0666666666666667
"bais davide",2021,NA,0.270833333333333
"bakelants jan",2008,444,0.5
"ballarin iker",2020,NA,0
"ballerini davide",2017,532,0.428888888888889
"balloni alfredo",2010,25,0.838293650793651
"balykin ivan",2014,167,1.25
"banaszek adrian",2016,43,0.5
"banaszek alan",2016,201,0.333333333333333
"banaszek norbert",2016,9,0.333333333333333
"bandiera marco",2008,278,0.583333333333333
"barbero carlos",2015,580,0
"barbier pierre",2020,37,0.191666666666667
"barbin enrico",2013,169,0.85
"barceló fernando",2018,244,0
"bardet romain",2012,976,1.16904761904762
"barguil warren",2013,921,0.821428571428571
"barla luca",2008,46,0
"barrenetxea jon",2021,NA,0
"barta will",2018,58,0.698928571428571
"barthe cyril",2018,156,0
"barton chris",2010,0,0.2
"baška erik",2016,169,0.1
"bassett stephen",2020,1,0
"batek dariusz",2010,39,0
"battaglin enrico",2012,371,1.25555555555556
"battistella samuele",2020,83,0.5875
"baugnies jérôme",2010,241,0.790277777777778
"bauhaus phil",2015,300,0.333333333333333
"bayer tobias",2021,NA,0.1
"baylis tom",2016,36,0
"begnoni gianmarco",2020,NA,0
"behringer oliver",2019,0,0
"belda david",2007,29,0
"belgy julien",2007,76,0.166666666666667
"belkov maxim",2009,110,1.27261904761905
"bellemakers dirk",2008,37,0
"belletti manuel",2008,284,0.833333333333333
"bellicaud jeremy",2020,NA,0.2
"bellis jonathan",2009,29,0.591666666666667
