start,end,cat,name,race_id
5/01/2022,9/01/2022,2.2,New Zealand Cycle Classic,39276
12/01/2022,,NCT2,National Championships Australia (Buninyong) I.T.T.,39277
16/01/2022,,NC2,National Championships Australia (Buninyong) R.R.,39287
16/01/2022,23/01/2022,2.2,Vuelta al Tachira,39286
23/01/2022,,1.2,GP Valencia,39288
26/01/2022,,1.1,Trofeo Calvia,39289
27/01/2022,,1.1,Trofeo Alcudia,39292
28/01/2022,,1.1,Trofeo Serra de Tramuntana,39290
28/01/2022,1/02/2022,2.2,Sharjah Tour,39322
29/01/2022,,1.1,Trofeo Pollença - Port d'Andratx,39291
30/01/2022,,1.1,Trofeo Playa de Palma,39293
30/01/2022,,1.1,GP La Marseillaise,39294
30/01/2022,,1.2,GP Mega Saray,39295
30/01/2022,6/02/2022,2.PS,Vuelta a San Juan,39455
1/02/2022,5/02/2022,2.1,Saudi Tour,39328
2/02/2022,6/02/2022,2.1,Etoile de Bessèges / Tour du Gard,39334
2/02/2022,6/02/2022,2.PS,Volta a la Comunitat Valenciana,39340
4/02/2022,,NCT5,National Championships Namibia (Windhoek) I.T.T.,39298
5/02/2022,,1.2,GP Alanya,39296
6/02/2022,,NC5,National Championships Namibia (Windhoek) R.R.,39299
9/02/2022,13/02/2022,2.2,Vuelta del Porvenir San Luis,39346
10/02/2022,,NCT2,National Championships Colombia (Pereira) I.T.T.,39300
10/02/2022,13/02/2022,2.1,Tour of Antalya,39351
10/02/2022,13/02/2022,2.PS,Tour de La Provence,39356
10/02/2022,15/02/2022,2.PS,Tour of Oman,39746
11/02/2022,,NCT4,National Championships New Zealand (Cambridge) I.T.T.,39302
11/02/2022,,NCT3,National Championships South Africa (Graskop) I.T.T.,39304
11/02/2022,,NC5,National Championships Bahrain (Sakhir) R.R.,39433
12/02/2022,,1.1,Vuelta a Murcia,39306
13/02/2022,,NC2,National Championships Colombia (Pereira) R.R.,39301
13/02/2022,,NC4,National Championships New Zealand (Cambridge) R.R.,39303
13/02/2022,,NC3,National Championships South Africa (Graskop) R.R.,39305
13/02/2022,,1.PS,Clasica de Almeria,39307
14/02/2022,,1.1,Jaén Paraíso Interior,39308
16/02/2022,20/02/2022,2.PS,Volta ao Algarve,39362
16/02/2022,20/02/2022,2.PS,Vuelta a Andalucia / Ruta Del Sol,39368
18/02/2022,,NCT3,National Championships Ecuador (Quito) I.T.T.,39309
18/02/2022,,NCT5,National Championships Bahrain (Zallaq) I.T.T.,39432
18/02/2022,20/02/2022,2.1,Tour des Alpes-Maritimes et du Var,39372
19/02/2022,,1.2,GP Velo Alanya,39311
20/02/2022,,NC3,National Championships Ecuador (Quito) R.R.,39310
20/02/2022,,1.2,GP Justiniano Hotels,39312
20/02/2022,,NC5,National Championships Uruguay (Rocha) R.R.,40093
20/02/2022,26/02/2022,2.WT3,UAE Tour,39380
20/02/2022,27/02/2022,2.1,Tour du Rwanda,39390
24/02/2022,27/02/2022,2.1,O Gran Camiño,39395
26/02/2022,,1.PS,Faun Ardèche Classic,39313
26/02/2022,,1.WT3,Omloop Het Nieuwsblad,39315
27/02/2022,,1.PS,Faun Drôme Classic,39314
27/02/2022,,1.PS,Kuurne - Brussel - Kuurne,39316
1/03/2022,,1.1,Le Samyn,39396
2/03/2022,,1.2,Trofej Umag - Umag Trophy,39397
2/03/2022,,1.PS,Trofeo Laigueglia,39398
5/03/2022,,NCT5,National Championships United Arab Emirates (Nazwa) I.T.T.,39399
5/03/2022,,1.2,Ster van Zwolle,39401
5/03/2022,,1.2,GP Gazipasa,39402
5/03/2022,,1.WT3,Strade Bianche,39403
6/03/2022,,1.2,GP Ville de Lillers - Souvenir Bruno Comini,39404
6/03/2022,,1.2,GP Mediterranean,39405
6/03/2022,,1.2,Visit Friesland Elfsteden Race,39406
6/03/2022,,1.1,GP Jean-Pierre Monseré,39407
6/03/2022,,1.2,Trofej Porec - Porec Trophy,39408
6/03/2022,13/03/2022,2.WT1,Paris - Nice,39483
7/03/2022,13/03/2022,2.WT1,Tirreno - Adriatico,39493
10/03/2022,13/03/2022,2.2,Istarsko proljece - Istrian Spring Trophy,39499
12/03/2022,,NCT5,National Championships Uruguay (Punta del Este) I.T.T.,40097
12/03/2022,,NC5,National Championships Qatar (Dukhan) R.R.,40098
12/03/2022,,NC5,National Championships United Arab Emirates (Kalba) R.R.,40099
12/03/2022,13/03/2022,2.2,South Aegean Tour,39513
13/03/2022,,1.1,Ronde van Drenthe,39410
13/03/2022,,1.2,Dorpenomloop Rucphen,39411
13/03/2022,,1.2,Classica da Arrabida,39412
16/03/2022,,1.PS,Nokere Koerse,39413
16/03/2022,,1.PS,Milano - Torino,39414
16/03/2022,20/03/2022,2.2,Jelajah Malaysia,39465
16/03/2022,20/03/2022,2.2,Volta ao Alentejo,39520
17/03/2022,,1.PS,GP de Denain - Porte du Hainaut,39415
17/03/2022,20/03/2022,2.2,Olympia's Tour,39526
18/03/2022,,1.PS,Bredene Koksijde Classic,39416
18/03/2022,,1.2U,Youngster Coast Challenge,40100
19/03/2022,,1.2,GP Manavgat Side,39419
19/03/2022,,1.1,Classic Loire Atlantique,39420
19/03/2022,,1.WT1,Milano - Sanremo,39421
20/03/2022,,1.1,GP Cholet - Pays de Loire,39422
20/03/2022,,1.2,Rhodes GP,39423
20/03/2022,,1.1,Per Sempre Alfredo,39424
20/03/2022,,1.2,Popolarissima,39425
20/03/2022,,1.2,GP Gündogmus,39426
20/03/2022,,1.2,GP Slovenian Istria - Izola,39427
20/03/2022,,1.2,GP Criquielion,39428
20/03/2022,27/03/2022,2.PS,Tour of Hainan,39535
21/03/2022,27/03/2022,2.2,Tour de Normandie,39543
21/03/2022,27/03/2022,2.WT2,Volta a Catalunya,39551
22/03/2022,26/03/2022,2.1,Settimana Coppi e Bartali,39560
23/03/2022,,1.WT3,Minerva Classic Brugge-De Panne,39429
23/03/2022,,CCT2,African Cycling Championships (Sharm El-Sheik) T.T.T.,40106
24/03/2022,,1.2,GP Vipava Valley & Crossborder Gorika,39430
24/03/2022,,CCT2,African Cycling Championships (Sharm El-Sheik) I.T.T.,40107
24/03/2022,27/03/2022,2.2,Tour of Rhodes,39565
25/03/2022,,1.WT2,E3 Harelbeke,39431
25/03/2022,,CCT2,Asian Cycling Championships (Dushanbe) T.T.T.,40101
25/03/2022,,CCT2,African Cycling Championships (Sharm El-Sheik) Mixed Relay T.T.T.,40105
25/03/2022,,NCT5,National Championships Bolivia (Tolomosa) I.T.T.,40109
27/03/2022,,CCT2,Asian Cycling Championships (Dushanbe) I.T.T.,39434
27/03/2022,,1.WT2,Gent - Wevelgem,39438
27/03/2022,,1.2,GP Adria Mobil,39439
27/03/2022,,1.1,La Roue Tourangelle,39440
27/03/2022,,1.2U,Trofeo Citta di San Vendemiano,39441
27/03/2022,,1.PS,GP Industria & Artigianato - Larciano,39442
27/03/2022,,1.NC,Kattekoers Ieper / Gent - Wevelgem u23,39443
27/03/2022,,CC2,African Cycling Championships (Sharm El-Sheik) R.R.,40108
27/03/2022,,NC5,National Championships Bolivia (Tolomosa) R.R.,40110
29/03/2022,,CC2,Asian Cycling Championships (Dushanbe) R.R.,39435
30/03/2022,,1.WT3,Dwars door Vlaanderen,39446
1/04/2022,,1.1,Route Adélie de Vitré,39688
1/04/2022,,NCT5,National Championships Chile (Curico) I.T.T.,40118
1/04/2022,3/04/2022,2.2U,Triptyque des Monts et Châteaux,39570
1/04/2022,6/04/2022,2.1,Tour of Thailand,39577
2/04/2022,,1.PS,GP Miguel Indurain,39689
2/04/2022,,1.1,Volta Limburg Classic,39690
2/04/2022,,NC5,National Championships Lesotho (Maseru) R.R.,40120
3/04/2022,,1.2U,Trofeo Piva,39691
3/04/2022,,1.WT1,Ronde van Vlaanderen,39692
4/04/2022,9/04/2022,2.WT2,Itzulia Basque Country,39584
5/04/2022,8/04/2022,2.1,Circuit Cycliste Sarthe - Pays de la Loire,39591
5/04/2022,8/04/2022,2.2,Tour of Mevlana,39596
6/04/2022,,1.PS,Scheldeprijs,39693
6/04/2022,9/04/2022,2.2,Circuit des Ardennes,39601
7/04/2022,10/04/2022,2.2,Vuelta a Formosa,40126
9/04/2022,,1.2U,Trofeo Edil C,39694
9/04/2022,,CCT2,Oceania Cycling Championships (Brisbane) I.T.T.,40116
10/04/2022,,1.WT2,Amstel Gold Race,39695
10/04/2022,,CC2,Oceania Cycling Championships (Brisbane) R.R.,40115
10/04/2022,17/04/2022,2.PS,Presidential Tour of Turkey,39624
12/04/2022,,1.1,Paris - Camembert,39696
