race_name,year,stage_race,race_url
tour-down-under,2013,True,race/tour-down-under/2013
paris-nice,2013,True,race/paris-nice/2013
tirreno-adriatico,2013,True,race/tirreno-adriatico/2013
milano-sanremo,2013,False,race/milano-sanremo/2013
volta-a-catalunya,2013,True,race/volta-a-catalunya/2013
e3-harelbeke,2013,False,race/e3-harelbeke/2013
gent-wevelgem,2013,False,race/gent-wevelgem/2013
ronde-van-vlaanderen,2013,False,race/ronde-van-vlaanderen/2013
itzulia-basque-country,2013,True,race/itzulia-basque-country/2013
paris-roubaix,2013,False,race/paris-roubaix/2013
amstel-gold-race,2013,False,race/amstel-gold-race/2013
la-fleche-wallone,2013,False,race/la-fleche-wallone/2013
liege-bastogne-liege,2013,False,race/liege-bastogne-liege/2013
tour-de-romandie,2013,True,race/tour-de-romandie/2013
giro-d-italia,2013,True,race/giro-d-italia/2013
dauphine,2013,True,race/dauphine/2013
tour-de-suisse,2013,True,race/tour-de-suisse/2013
tour-de-france,2013,True,race/tour-de-france/2013
san-sebastian,2013,False,race/san-sebastian/2013
tour-de-pologne,2013,True,race/tour-de-pologne/2013
benelux-tour,2013,True,race/benelux-tour/2013
vuelta-a-espana,2013,True,race/vuelta-a-espana/2013
cyclassics-hamburg,2013,False,race/cyclassics-hamburg/2013
bretagne-classic,2013,False,race/bretagne-classic/2013
gp-quebec,2013,False,race/gp-quebec/2013
gp-montreal,2013,False,race/gp-montreal/2013
il-lombardia,2013,False,race/il-lombardia/2013
tour-of-beijing,2013,True,race/tour-of-beijing/2013
tour-down-under,2014,True,race/tour-down-under/2014
paris-nice,2014,True,race/paris-nice/2014
tirreno-adriatico,2014,True,race/tirreno-adriatico/2014
milano-sanremo,2014,False,race/milano-sanremo/2014
volta-a-catalunya,2014,True,race/volta-a-catalunya/2014
e3-harelbeke,2014,False,race/e3-harelbeke/2014
gent-wevelgem,2014,False,race/gent-wevelgem/2014
ronde-van-vlaanderen,2014,False,race/ronde-van-vlaanderen/2014
itzulia-basque-country,2014,True,race/itzulia-basque-country/2014
paris-roubaix,2014,False,race/paris-roubaix/2014
amstel-gold-race,2014,False,race/amstel-gold-race/2014
la-fleche-wallone,2014,False,race/la-fleche-wallone/2014
