,rider_url,rider_name,nationality
0,arnaud-demare,DÉMARE Arnaud,FR
1,ben-swift,SWIFT Ben,GB
2,jurgen-roelandts,ROELANDTS Jürgen,BE
3,nacer-bouhanni,BOUHANNI Nacer,FR
4,greg-van-avermaet,VAN AVERMAET Greg,BE
5,alexander-kristoff,KRISTOFF Alexander,NO
6,heinrich-haussler,HAUSSLER Heinrich,AU
7,filippo-pozzato,POZZATO Filippo,IT
8,sonny-colbrelli,COLBRELLI Sonny,IT
9,matteo-trentin,TRENTIN Matteo,IT
10,luis-leon-sanchez,SÁNCHEZ Luis León,ES
11,peter-sagan,SAGAN Peter,SK
12,matteo-montaguti,MONTAGUTI Matteo,IT
13,tom-jelte-slagter,SLAGTER Tom-Jelte,NL
14,alejandro-valverde,VALVERDE Alejandro,ES
15,jan-bakelants,BAKELANTS Jan,BE
16,niccolo-bonifazio,BONIFAZIO Niccolò,IT
17,arthur-vichot,VICHOT Arthur,FR
18,simon-geschke,GESCHKE Simon,DE
19,francesco-gavazzi,GAVAZZI Francesco,IT
20,davide-rebellin,REBELLIN Davide,IT
21,andrea-fedi,FEDI Andrea,IT
22,paul-voss,VOß Paul,DE
23,sep-vanmarcke,VANMARCKE Sep,BE
24,lars-boom,BOOM Lars,NL
25,edvald-boasson-hagen,BOASSON HAGEN Edvald,NO
26,damiano-caruso,CARUSO Damiano,IT
27,dayer-quintana-rojas,QUINTANA Dayer,CO
28,enrico-battaglin,BATTAGLIN Enrico,IT
29,franco-pellizotti,PELLIZOTTI Franco,IT
30,fabian-cancellara,CANCELLARA Fabian,CH
31,jarlinson-pantano,PANTANO Jarlinson,CO
32,vincenzo-nibali,NIBALI Vincenzo,IT
33,tony-gallopin,GALLOPIN Tony,FR
34,jens-debusschere,DEBUSSCHERE Jens,BE
35,arnold-jeannesson,JEANNESSON Arnold,FR
36,jacopo-guarnieri,GUARNIERI Jacopo,IT
37,geoffrey-soupe,SOUPE Geoffrey,FR
38,vicente-reynes,REYNÉS Vicente,ES
39,michal-kwiatkowski,KWIATKOWSKI Michał,PL
