,team_url,team_name
0,fdj-2016,FDJ
1,team-sky-2016,Team Sky
2,lotto-soudal-2016,Lotto Soudal
3,cofidis-solutions-credits-2016,"Cofidis, Solutions Crédits"
4,bmc-racing-team-2016,BMC Racing Team
5,team-katusha-2016,Team Katusha 
6,iam-cycling-2016,IAM Cycling
7,wilier-southeast-2016,Wilier - Southeast
8,bardiani-csf-2016,Bardiani - CSF
9,etixx-quick-step-2016,Etixx - Quick Step
10,astana-pro-team-2016,Astana Pro Team
11,tinkoff-2016,Tinkoff
12,ag2r-la-mondiale-2016,AG2R La Mondiale
13,cannondale-pro-cycling-team-2016,Cannondale Pro Cycling Team
14,movistar-team-20162,Movistar Team
16,trek-segafredo-2016,Trek - Segafredo
18,team-giant-alpecin-2016,Team Giant - Alpecin
19,androni-giocattoli-sidermec-2016,Androni Giocattoli - Sidermec
20,ccc-sprandi-polkowice-2016,CCC Sprandi Polkowice 
22,bora-argon-18-2016,Bora - Argon 18
23,team-lottonl-jumbo-2016,Team LottoNL-Jumbo
25,dimension-data-2016,Team Dimension Data
57,lampre-merida-2016,Lampre - Merida
58,orica-greenedge-2016,Orica GreenEDGE
93,team-novo-nordisk-2016,Team Novo Nordisk
12,topsport-vlaanderen-baloise-2016,Topsport Vlaanderen - Baloise
25,direct-energie-2016,Direct Energie
26,roompot-oranje-peloton-2016,Roompot - Oranje Peloton
54,wanty-groupe-gobert-2016,Wanty - Groupe Gobert
63,fortuneo-vital-concept-2016,Fortuneo - Vital Concept
79,delko-marseille-provence-ktm-2016,Delko Marseille Provence KTM
112,nippo-vini-fantini-2016,Nippo - Vini Fantini 
53,stolting-service-group-2016,Stölting Service Group
6,orica-bikeexchange-2016,ORICA-BikeExchange
7,cannondale-drapac-pro-cycling-team-2016,Cannondale-Drapac Pro Cycling Team
31,caja-rural-seguros-rga-2016,Caja Rural - Seguros RGA
18,verva-activejet-pro-cycling-team-2016,VERVA ActiveJet Pro Cycling Team
16,canada-2016,Canada
55,gazprom-rusvelo-2016,Gazprom-RusVelo
0,team-sunweb-2017,Team Sunweb
1,orica-scott-2017,ORICA-Scott
2,korda-mentha-real-estate-australia-2017,Korda Mentha Real Estate Australia
3,team-katusha-alpecin-2017,Team Katusha Alpecin
4,team-sky-2017,Team Sky
5,quick-step-floors-2017,Quick-Step Floors
6,dimension-data-2017,Team Dimension Data
8,bora-hansgrohe-2017,BORA - hansgrohe
9,team-lottonl-jumbo-2017,Team LottoNL-Jumbo
11,lotto-soudal-2017,Lotto Soudal
14,cannondale-drapac-pro-cycling-team-2017,Cannondale-Drapac Pro Cycling Team
16,ag2r-la-mondiale-2017,AG2R La Mondiale
18,unitedhealthcare-pro-cycling-team-2017,UnitedHealthcare Pro Cycling Team
20,bmc-racing-team-2017,BMC Racing Team
25,trek-segafredo-2017,Trek - Segafredo
26,aqua-blue-sport-2017,Aqua Blue Sport
33,gazprom-rusvelo-2017,Gazprom-RusVelo
34,roompot-nederlandse-loterij-2017,Roompot - Nederlandse Loterij
4,astana-pro-team-2017,Astana Pro Team
