race_name,year,stage_race
tour-down-under,2013,True
paris-nice,2013,True
tirreno-adriatico,2013,True
milano-sanremo,2013,False
volta-a-catalunya,2013,True
e3-harelbeke,2013,False
gent-wevelgem,2013,False
ronde-van-vlaanderen,2013,False
itzulia-basque-country,2013,True
paris-roubaix,2013,False
amstel-gold-race,2013,False
la-fleche-wallone,2013,False
liege-bastogne-liege,2013,False
tour-de-romandie,2013,True
giro-d-italia,2013,True
dauphine,2013,True
tour-de-suisse,2013,True
tour-de-france,2013,True
san-sebastian,2013,False
tour-de-pologne,2013,True
benelux-tour,2013,True
vuelta-a-espana,2013,True
cyclassics-hamburg,2013,False
bretagne-classic,2013,False
gp-quebec,2013,False
gp-montreal,2013,False
il-lombardia,2013,False
tour-of-beijing,2013,True
tour-down-under,2014,True
paris-nice,2014,True
tirreno-adriatico,2014,True
milano-sanremo,2014,False
volta-a-catalunya,2014,True
e3-harelbeke,2014,False
gent-wevelgem,2014,False
ronde-van-vlaanderen,2014,False
itzulia-basque-country,2014,True
paris-roubaix,2014,False
amstel-gold-race,2014,False
la-fleche-wallone,2014,False
liege-bastogne-liege,2014,False
tour-de-romandie,2014,True
giro-d-italia,2014,True
dauphine,2014,True
tour-de-suisse,2014,True
tour-de-france,2014,True
san-sebastian,2014,False
tour-de-pologne,2014,True
benelux-tour,2014,True
vuelta-a-espana,2014,True
cyclassics-hamburg,2014,False
bretagne-classic,2014,False
gp-quebec,2014,False
gp-montreal,2014,False
il-lombardia,2014,False
tour-of-beijing,2014,True
tour-down-under,2015,True
paris-nice,2015,True
tirreno-adriatico,2015,True
milano-sanremo,2015,False
volta-a-catalunya,2015,True
e3-harelbeke,2015,False
gent-wevelgem,2015,False
ronde-van-vlaanderen,2015,False
itzulia-basque-country,2015,True
paris-roubaix,2015,False
amstel-gold-race,2015,False
la-fleche-wallone,2015,False
liege-bastogne-liege,2015,False
tour-de-romandie,2015,True
giro-d-italia,2015,True
dauphine,2015,True
tour-de-suisse,2015,True
tour-de-france,2015,True
san-sebastian,2015,False
tour-de-pologne,2015,True
benelux-tour,2015,True
vuelta-a-espana,2015,True
cyclassics-hamburg,2015,False
bretagne-classic,2015,False
gp-quebec,2015,False
gp-montreal,2015,False
il-lombardia,2015,False
tour-down-under,2016,True
paris-nice,2016,True
tirreno-adriatico,2016,True
